stop_id,stop_name,stop_lat,stop_lon
node/5206436729,Schutte Street,-25.7500437,28.1596883
node/5206814706,Golf,-25.7404916,28.1607766
node/507206917,Technikon Rant,-25.7327142,28.1671557
node/8175197410,New Canada,-26.2147498,27.9420787
node/9165976947,Mlamlankunzi,-26.2264676,27.9272788
node/4331158532,Orlando,-26.2388863,27.9168009
node/247646903,Nancefield,-26.2516066,27.9063659
node/54974737,Kliptown,-26.2728788,27.8877398
node/247644815,Tshiawelo,-26.2890658,27.8705673
node/247644763,Midway,-26.29329,27.8507832
node/247644843,Waterworks,-26.3023628,27.8160495
node/247644648,Goudeon,-26.3052119,27.7714688
node/247644822,Suurbekom,-26.3066824,27.7482175
node/847302708,Westonaria,-26.3128015,27.6517921
node/247644645,Goudryk,-26.3162875,27.579613
node/247646720,Bank,-26.3112438,27.5128955
node/247646870,Maizelands,-26.3294346,27.441029
node/247644741,Lenasia,-26.3194309,27.823346
node/247644694,Lawley,-26.3551092,27.8307872
node/247644573,Anglers,-26.3712482,27.8355092
node/247644765,Midannadale,-26.414181,27.8568173
node/247644646,Grasmere,-26.4264723,27.8626853
node/247644784,Residensia,-26.5376714,27.8880872
node/247644615,Eatonside,-26.5578,27.878501
node/247644700,Kwaggastroom,-26.5662029,27.8639138
node/247644668,Houtheuwel,-26.6031634,27.85337
node/247644679,Kleigrond,-26.6235836,27.8714044
node/247644693,Leeuhof,-26.6550134,27.9061326
node/247644627,Duncanville,-26.6641344,27.9290646
node/7124278764,Johannesburg Park,-26.1975842,28.042632
node/4332065651,Doornfontein,-26.1971048,28.0547222
node/9165674006,Ellis Park,-26.199504,28.0597651
node/9165674005,Jeppe,-26.2039297,28.0636136
node/9165674004,George Goch,-26.2072232,28.0813928
node/4332066421,Denver,-26.2056746,28.0973276
node/4332386195,Tooronga,-26.2042927,28.1112134
node/4332386340,Cleveland,-26.208945,28.1197918
node/4332261935,Geldenhuis,-26.2077436,28.1336434
node/4332262496,Driehoek,-26.2134721,28.1505179
node/4332262308,President,-26.2117043,28.1591371
node/2806204585,Germiston,-26.2100686,28.1692356
node/7661577173,Boksburg East,-26.2180098,28.2606272
node/7500580792,Dunswart,-26.2094245,28.2860814
node/2801781505,Benoni,-26.1977116,28.3110932
node/9165674009,New Kleinfontein,-26.206556,28.3201463
node/247644572,Apex,-26.2162604,28.3339025
node/247644571,Anzac,-26.2298835,28.3555815
node/7741737510,Brakpan,-26.2404731,28.36108
node/247644825,Schapenrust,-26.2570208,28.3766227
node/9165674015,New Era,-26.262476,28.40779
node/9165682817,Pollak Park,-26.2650124,28.4315253
node/247644814,Springs,-26.2500305,28.4377769
node/247644607,Daggafontein,-26.2922209,28.469433
node/247644809,Struisbult,-26.3147752,28.4608059
node/247644628,Dunnottar,-26.3492663,28.4415744
node/247644837,Servaas,-26.3898899,28.4417535
node/247644753,Nigel,-26.4226255,28.4485455
node/9165523946,Industria,-26.2004095,27.9806729
node/247644842,Westbury,-26.1887444,27.9684509
node/247644754,Newclare,-26.1863348,27.9628866
node/247644712,Maraisburg,-26.1796055,27.9404191
node/247644649,Hamberg,-26.1675437,27.8934583
node/8192228497,Roodepoort,-26.1591959,27.8702181
node/247644666,Horison,-26.1465225,27.8638112
node/247644803,Princess,-26.1327361,27.8536718
node/247644848,Witpoortjie,-26.1273462,27.8314228
node/247644717,Luipaardsvlei,-26.1197865,27.8115924
node/247644696,Lanwen,-26.1150358,27.7933804
node/247644854,Windsor Mine,-26.1097836,27.781476
node/847302716,Wes-Rand,-26.1118523,27.7487664
node/247644769,Millsite,-26.1280308,27.7394351
node/247644787,Robinson,-26.157982,27.7150947
node/247644584,Central,-26.1401827,27.73429
node/247644671,Home Lake,-26.1678461,27.7077274
node/247644776,Randfontein,-26.1813645,27.6980124
node/7048792048,Eerste Fabrieke,-25.722344,28.3583291
node/7048792050,Denneboom,-25.7188992,28.3358518
node/247644866,Waltloo,-25.7169776,28.3213512
node/7059536495,Saulsville,-25.7643571,28.0627667
node/7059609616,Atteridgeville,-25.7626317,28.0757627
node/5217099436,Kalafong,-25.7603192,28.08944
node/2218862850,Cor Delfos,-25.7671583,28.1342288
node/5216455159,Elektro,-25.7607708,28.1459266
node/7059609608,Rebecca,-25.758287,28.1545325
node/5204346156,Pretoria-Wes,-25.7560736,28.1688052
node/7059609604,Bosmanstraat,-25.7571883,28.1860252
node/5203383906,Pretoria,-25.7607509,28.190682
node/9169149816,Pretoria Noord,-25.6711905,28.1817833
node/9169165217,Winternest,-25.6466532,28.1276193
node/7873444053,Rosslyn,-25.6378244,28.0947039
node/9169165219,Hornsnek,-25.6271531,28.0554845
node/7859757922,Mudunsa,-25.6219237,28.0187376
node/7168841189,Ga-Rankuwa,-25.6195442,27.991595
node/7168841206,Taillardshoop,-25.6178101,27.9717312
node/7168841291,De Wildt,-25.6247499,27.9445638
node/247644595,Daveyton,-26.1564302,28.4246163
node/247644563,Alliance,-26.1725782,28.4167249
node/247644856,Van Ryn,-26.1730209,28.3444813
node/247644751,Northmead,-26.1810037,28.3181089
node/247644570,Avenue,-26.2023341,28.2970126
node/247644613,Dunswart,-26.209557,28.2854698
node/247644798,Pollak Park,-26.2650486,28.431402
node/247644748,New Era,-26.2624864,28.4076914
node/7741737605,Schapenrust,-26.2570057,28.3765215
node/247644588,Brakpan,-26.2403812,28.3609927
node/7741737250,Anzac,-26.2298895,28.3555385
node/247644747,New Kleinfontein,-26.2065719,28.3201123
node/247644581,Benoni,-26.198055,28.3104906
node/7661577350,Dunswart,-26.2097927,28.285199
node/7661577106,East Rand,-26.2171598,28.2298174
node/7661577015,Angelo,-26.2045754,28.2121946
node/7661576969,Delmore,-26.20618,28.1979373
node/4332066329,Jeppe,-26.2028258,28.0622445
node/7168841278,De Wildt,-25.6247172,27.9445477
node/7168841210,Taillardshoop,-25.6177932,27.9729148
node/7168840783,Ga-Rankuwa,-25.6194692,27.992228
node/247644665,Hornsnek,-25.6271795,28.0557118
node/247644718,Lynross,-25.6342805,28.0824208
node/247644830,Rosslyn,-25.6377934,28.0951296
node/247644791,Panpoort,-25.7344785,28.4428257
node/1797234405,Pienaarspoort,-25.7351619,28.4278482
node/7040633404,Greenview,-25.7301861,28.4053549
node/7040633298,Mamelodi Gardens,-25.7265831,28.3838901
node/8870379684,Waltloo,-25.7171247,28.3201153
node/8870379685,Eersterust,-25.7210811,28.306033
node/8870379686,Silverton,-25.7275063,28.2957186
node/8870379687,Koedoespoort,-25.7263052,28.2776694
node/6778869163,Hartbeesspruit,-25.7466142,28.2411161
node/8870092647,Rissik,-25.7499569,28.2312622
node/8870092641,Loftus Versfeldpark,-25.7551053,28.2251885
node/5202924899,Walker Street,-25.7604707,28.2125755
node/5203095727,Devenish Street,-25.7599405,28.2049807
node/5203095508,Mears Street,-25.7627013,28.1977297
node/247644600,Denneboom,-25.7191548,28.3368342
node/247644760,Meyerton,-26.5555964,28.009638
node/7298985588,Kookrus,-26.5873981,27.9936723
node/7298985599,Redan,-26.627407,27.9669978
node/7059779910,Alloy,-26.6573835,27.9431956
node/247644858,Vereeniging,-26.6742088,27.9352274
node/4331222185,Crown,-26.2224547,28.0145895
node/4332203459,Booysens,-26.2256548,28.0415135
node/9166410299,Kaserne West,-26.219871,28.0705946
node/7007051492,Benrose,-26.2157205,28.0873146
