stop_id,stop_name,stop_lat,stop_lon
STOP_52C_VIA,Winchester Hills Ext 4,-26.195,28.034
STOP_52C_END,Winchester Hills Ext 3,-26.195,28.034
STOP_52B_START,Sanlam centre,-26.195,28.034
STOP_52B_VIA,Winchester Hills,-26.195,28.034
STOP_52B_END,Winchester Hills,-26.195,28.034
STOP_52_START,Sanlam centre,-26.195,28.034
STOP_52_VIA,Southgate,-26.195,28.034
STOP_52_END,Southgate,-26.195,28.034
STOP_54A_START,Sanlam cenntre,-26.195,28.034
STOP_54A_VIA,the Glen,-26.195,28.034
STOP_54A_END,The Glen,-26.195,28.034
STOP_562_START,Southgate,-26.195,28.034
STOP_562_VIA,OR Tambo int Airport,-26.195,28.034
STOP_562_END,OR Tambo int Airport,-26.195,28.034
STOP_10_START,Stock Exchange,-26.195,28.034
STOP_10_VIA,Melrose Arch,-26.195,28.034
STOP_10_END,Melrose Arch,-26.195,28.034
STOP_74_START,Stock Exchange,-26.195,28.034
STOP_74_VIA,Blairgowrie,-26.195,28.034
STOP_74_END,Blairgowrie,-26.195,28.034
STOP_78B_START,Stock Exchange,-26.195,28.034
STOP_78B_VIA,Blairgowrie,-26.195,28.034
STOP_78B_END,Blairgowrie,-26.195,28.034
STOP_87A_START,Stock Exchange,-26.195,28.034
STOP_87A_VIA,Glendayson,-26.195,28.034
STOP_87A_END,Glendayson,-26.195,28.034
STOP_8A_START,Stock Exchange,-26.195,28.034
STOP_8A_VIA,Winston Ridge,-26.195,28.034
STOP_8A_END,Winston Ridge,-26.195,28.034
STOP_5D_START,Stock Exchange,-26.195,28.034
STOP_5D_VIA,Sunninghill,-26.195,28.034
STOP_5D_END,Sunninghill,-26.195,28.034
STOP_87_START,Stock Exchange,-26.195,28.034
STOP_87_VIA,Glendayson,-26.195,28.034
STOP_87_END,Glendayson,-26.195,28.034
STOP_261_START,Stpock Exchange,-26.195,28.034
STOP_261_VIA,Edenvale,-26.195,28.034
STOP_261_END,Edenvale,-26.195,28.034
STOP_22C_START,Stock Exchange,-26.195,28.034
STOP_22C_VIA,Bedford Plaza,-26.195,28.034
STOP_22C_END,Bedford Plaza,-26.195,28.034
STOP_34_START,Stock Exchange,-26.195,28.034
STOP_34_VIA,Malvern,-26.195,28.034
STOP_34_END,Malvern,-26.195,28.034
STOP_38_START,Stock Exchange,-26.195,28.034
STOP_38_VIA,Germiston,-26.195,28.034
STOP_38_END,Germiston,-26.195,28.034
STOP_547D_START,Townsview,-26.195,28.034
